station,date,prcp,tobs
USC00519397,2010-01-01,2.0,18.3
USC00519397,2010-01-02,0.0,17.2
USC00519397,2010-01-03,0.0,23.3
USC00519397,2010-01-04,0.0,24.4
USC00519397,2010-01-06,,22.8
USC00519397,2010-01-07,1.5,21.1
USC00519397,2010-01-08,0.0,17.8
USC00519397,2010-01-09,0.0,20.0
USC00519397,2010-01-10,0.0,22.8
USC00519397,2010-01-11,0.3,17.8
USC00519397,2010-01-12,0.0,16.1
USC00519397,2010-01-14,0.0,18.9
USC00519397,2010-01-15,0.0,18.3
USC00519397,2010-01-16,0.0,20.0
USC00519397,2010-01-17,0.0,17.8
USC00519397,2010-01-18,0.0,22.2
USC00519397,2010-01-19,0.0,18.9
USC00519397,2010-01-20,0.0,18.9
USC00519397,2010-01-21,0.0,20.6
USC00519397,2010-01-22,0.0,19.4
USC00519397,2010-01-23,0.0,19.4
USC00519397,2010-01-24,0.3,21.7
USC00519397,2010-01-25,0.0,19.4
USC00519397,2010-01-26,1.0,24.4
USC00519397,2010-01-27,3.0,20.0
USC00519397,2010-01-28,0.0,22.2
USC00519397,2010-01-30,,21.1
USC00519397,2010-01-31,0.8,19.4
USC00519397,2010-02-01,0.3,18.9
USC00519397,2010-02-03,,19.4
USC00519397,2010-02-04,0.3,20.6
USC00519397,2010-02-05,0.0,19.4
USC00519397,2010-02-06,0.0,19.4
USC00519397,2010-02-07,0.0,17.8
USC00519397,2010-02-08,0.0,20.6
USC00519397,2010-02-09,0.0,22.8
USC00519397,2010-02-11,0.0,22.8
USC00519397,2010-02-12,0.5,20.6
USC00519397,2010-02-13,0.3,20.6
USC00519397,2010-02-14,0.0,20.6
USC00519397,2010-02-15,0.0,21.7
USC00519397,2010-02-16,0.0,16.1
USC00519397,2010-02-17,0.0,20.6
USC00519397,2010-02-19,,17.2
USC00519397,2010-02-20,0.8,17.8
USC00519397,2010-02-21,0.0,18.3
USC00519397,2010-02-22,0.0,19.4
USC00519397,2010-02-23,0.0,20.0
USC00519397,2010-02-24,0.0,18.3
USC00519397,2010-02-25,0.0,24.4
USC00519397,2010-02-26,0.0,23.9
USC00519397,2010-02-28,0.0,18.9
USC00519397,2010-03-01,0.3,21.1
USC00519397,2010-03-02,0.0,22.2
USC00519397,2010-03-03,0.0,22.8
USC00519397,2010-03-04,3.0,21.1
USC00519397,2010-03-05,2.0,21.7
USC00519397,2010-03-06,0.8,22.2
USC00519397,2010-03-07,0.0,22.2
USC00519397,2010-03-08,10.9,20.6
USC00519397,2010-03-09,1.5,21.1
USC00519397,2010-03-11,,22.8
USC00519397,2010-03-12,0.0,22.2
USC00519397,2010-03-13,0.0,22.8
USC00519397,2010-03-14,0.0,21.1
USC00519397,2010-03-15,1.5,21.7
USC00519397,2010-03-17,0.0,20.0
USC00519397,2010-03-18,0.0,21.1
USC00519397,2010-03-21,0.0,22.2
USC00519397,2010-03-22,0.0,20.6
USC00519397,2010-03-23,0.0,20.0
USC00519397,2010-03-24,0.0,23.3
USC00519397,2010-03-26,,22.2
USC00519397,2010-03-27,0.0,22.2
USC00519397,2010-03-28,0.0,22.8
USC00519397,2010-03-29,0.0,23.3
USC00519397,2010-03-30,0.0,22.8
USC00519397,2010-03-31,0.0,22.8
USC00519397,2010-04-01,0.0,23.3
USC00519397,2010-04-02,0.3,23.3
USC00519397,2010-04-03,4.3,23.3
USC00519397,2010-04-04,3.8,21.7
USC00519397,2010-04-05,6.9,22.2
USC00519397,2010-04-06,0.3,23.9
USC00519397,2010-04-08,0.0,23.9
USC00519397,2010-04-09,0.3,23.9
USC00519397,2010-04-10,0.0,23.9
USC00519397,2010-04-11,0.3,22.8
USC00519397,2010-04-12,0.3,22.8
USC00519397,2010-04-13,0.0,21.7
USC00519397,2010-04-15,0.0,21.7
USC00519397,2010-04-16,0.3,20.0
